GetIP.dev - What is my IP?,GetIP.dev - Qual é o meu IP?
GetIP.dev - Privacy Policy,GetIP.dev - Política de Privacidade
"Discover your current IP address with GetIP.dev, the ideal tool to help troubleshoot network and security issues.","Descubra seu endereço IP atual com GetIP.dev, a ferramenta ideal para ajudar a solucionar problemas de rede e segurança."
Your current IP address:,Seu endereço IP atual:
City:,Cidade:
Region:,Região:
Country:,País:
Provider:,Provedor:
We use cookies to ensure you have the best experience on our site.,Utilizamos cookies para garantir que você tenha a melhor experiência em nosso site.
See more,Ver mais
Collected Information,Informações coletadas
"When you visit our website, we use Google Tag Manager to monitor and analyze user interactions. The information collected may include:","Quando você visita nosso site, usamos o Gerenciador de tags do Google para monitorar e analisar as interações dos usuários. As informações coletadas podem incluir:"
"Browsing data (pages visited, time spent, clicks, etc.)","Dados de navegação (páginas visitadas, tempo gasto, cliques, etc.)"
IP address (which can be used to determine geographical location),Endereço IP (que pode ser usado para determinar a localização geográfica)
Information about the device and browser used,Informações sobre o dispositivo e navegador utilizado
Use of Information,Uso de informações
The information collected is used exclusively to:,A informação recolhida é utilizada exclusivamente para:
Improve the user experience on the site,Melhorar a experiência do usuário no site
Understand how visitors interact with our content,Entenda como os visitantes interagem com nosso conteúdo
Perform statistical analyses to optimize site performance,Execute análises estatísticas para otimizar o desempenho do site
Information Sharing,Compartilhamento de informações
"We do not sell, trade, or otherwise transfer your personally identifiable information to third parties. The information collected by Google Tag Manager is stored and managed by Google, in accordance with Google's privacy policy.","Não vendemos, comercializamos ou transferimos de outra forma suas informações de identificação pessoal a terceiros. A informação recolhida pelo Google Tag Manager é armazenada e gerida pela Google, de acordo com a política de privacidade da Google."
Cookies,Biscoitos
"Our site may use cookies to store temporary information and improve your browsing experience. You can choose to disable cookies in your browser settings, but this may affect the functionality of the site.","Nosso site pode utilizar cookies para armazenar informações temporárias e melhorar sua experiência de navegação. Você pode optar por desativar os cookies nas configurações do seu navegador, mas isso pode afetar a funcionalidade do site."
Information Security,Segurança da Informação
"We adopt appropriate security measures to protect your personal information against unauthorized access, alteration, disclosure, or destruction.","Adotamos medidas de segurança adequadas para proteger as suas informações pessoais contra acesso, alteração, divulgação ou destruição não autorizados."
Privacy Policy Changes,Mudanças na Política de Privacidade
"We reserve the right to update this privacy policy periodically. Any changes will be posted on this page, and the modification date will be updated at the top of the page.",Reservamo-nos o direito de atualizar esta política de privacidade periodicamente. Quaisquer alterações serão publicadas nesta página e a data de modificação será atualizada no topo da página.
Contact,Contato
"If you have any questions about this privacy policy, please contact us at hugohdaguiar@gmail.com.","Se você tiver alguma dúvida sobre esta política de privacidade, entre em contato conosco pelo e-mail hugohdaguiar@gmail.com."
