"GetIP.dev - What is my IP?","GetIP.dev - What is my IP?"
"GetIP.dev - Privacy Policy","GetIP.dev - Privacy Policy"
"Discover your current IP address with GetIP.dev, the ideal tool to help troubleshoot network and security issues.","Discover your current IP address with GetIP.dev, the ideal tool to help troubleshoot network and security issues."
"Your current IP address:","Your current IP address:"
"City:","City:"
"Region:","Region:"
"Country:","Country:"
"Provider:","Provider:"
"We use cookies to ensure you have the best experience on our site.","We use cookies to ensure you have the best experience on our site."
"See more","See more"
"Collected Information","Collected Information"
"When you visit our website, we use Google Tag Manager to monitor and analyze user interactions. The information collected may include:","When you visit our website, we use Google Tag Manager to monitor and analyze user interactions. The information collected may include:"
"Browsing data (pages visited, time spent, clicks, etc.)","Browsing data (pages visited, time spent, clicks, etc.)"
"IP address (which can be used to determine geographical location)","IP address (which can be used to determine geographical location)"
"Information about the device and browser used","Information about the device and browser used"
"Use of Information","Use of Information"
"The information collected is used exclusively to:","The information collected is used exclusively to:"
"Improve the user experience on the site","Improve the user experience on the site"
"Understand how visitors interact with our content","Understand how visitors interact with our content"
"Perform statistical analyses to optimize site performance","Perform statistical analyses to optimize site performance"
"Information Sharing","Information Sharing"
"We do not sell, trade, or otherwise transfer your personally identifiable information to third parties. The information collected by Google Tag Manager is stored and managed by Google, in accordance with Google's privacy policy.","We do not sell, trade, or otherwise transfer your personally identifiable information to third parties. The information collected by Google Tag Manager is stored and managed by Google, in accordance with Google's privacy policy."
"Cookies","Cookies"
"Our site may use cookies to store temporary information and improve your browsing experience. You can choose to disable cookies in your browser settings, but this may affect the functionality of the site.","Our site may use cookies to store temporary information and improve your browsing experience. You can choose to disable cookies in your browser settings, but this may affect the functionality of the site."
"Information Security","Information Security"
"We adopt appropriate security measures to protect your personal information against unauthorized access, alteration, disclosure, or destruction.","We adopt appropriate security measures to protect your personal information against unauthorized access, alteration, disclosure, or destruction."
"Privacy Policy Changes","Privacy Policy Changes"
"We reserve the right to update this privacy policy periodically. Any changes will be posted on this page, and the modification date will be updated at the top of the page.","We reserve the right to update this privacy policy periodically. Any changes will be posted on this page, and the modification date will be updated at the top of the page."
"Contact","Contact"
"If you have any questions about this privacy policy, please contact us at hugohdaguiar@gmail.com.","If you have any questions about this privacy policy, please contact us at hugohdaguiar@gmail.com."
